sub_dept,transactions,exposure_pct
STORE USE MERCHANDISE,298,0.026694543653193088
400 PLUMBING TOOLS,296,0.026515385642097832
400 NZ ICECREAMS,283,0.025350858569978672
400 ELECTRONIC EQUIPMENT,278,0.024902963542240534
400 HEAVY LIFTING,257,0.02302180442574035
400 HERITAGE STAIR AND FASCIA,253,0.02266348840354984
400 CUTTING AND SERVICE CHARGE,249,0.022305172381359324
400 VENTILATION,241,0.021588540336978303
401 AUTO ELECTRICAL,231,0.020692750281502026
400 DEEP SEAT SETTINGS,229,0.02051359227040677
401  LAUNDRY TAPS,225,0.02015527624821626
400 BENCHTOP,212,0.018990749176097096
402 COMPRESSORS,198,0.01773664309843031
400 NZ COLD FOOD SWEET,194,0.017378327076239795
400 WORKBENCHES,191,0.01710959005959691
400 HEALTHY HOMES,187,0.0167512740374064
401 GARAGE AND GATE OPENERS,186,0.016661695031858773
400 ADDITIVES,185,0.016572116026311146
OTHER DEPARTMENT OFFRANGE SD,181,0.016213800004120635
400 INTERNAL TIMBER DOOR,180,0.016124220998573007
400 GARDEN DECOR OFF RANGE,168,0.015049272932001473
HIRE SHOP OTHER SDT,156,0.01397432486542994
402 CHEST AND TROLLEY,151,0.0135264298376918
402 MODULAR LAUNDRY,149,0.013347271826596544
400 JAMB,148,0.013257692821048916
HIRE SHOP CHARGES SDT,143,0.012809797793310776
400 FENCE AND LSCAPE OFF RANGE,140,0.012541060776667895
402 SPLASHBACKS,136,0.012182744754477382
401 AIR CONDITIONING,133,0.011914007737834499
400 WALL LINING,129,0.011555691715643988
400 TRADE PAINT,129,0.011555691715643988
403 INTERIOR DECOR,118,0.010570322654620082
400 EQUIPMENT STORAGE,117,0.010480743649072454
402 CEILING FANS,113,0.010122427626881944
PALLETS NZ SD,110,0.009853690610239059
400 TANKS,105,0.00940579558250092
400 GARDEN CARE OFF RANGE,105,0.00940579558250092
400 BLDING SUPPLIES OFF RANGE,98,0.008778742543667527
400 MDF MOULDINGS,96,0.00859958453257227
400 NETWORKING,91,0.008151689504834131
402 LAUNDRY TROUGHS,87,0.007793373482643619
401 STEEL CONSTRUCTION,77,0.006897583427167341
400 TIMBER CLADDING,73,0.0065392674049768295
TRADE BRANDED MERCHANDISE,72,0.006449688399429202
400 NZ HOT FOOD,71,0.006360109393881576
400 INTERIOR WATERPROOFING,66,0.005912214366143436
401 MODULAR BENCHTOPS,60,0.005374740332857669
401 PORTABLE POWER,59,0.005285161327310041
401 GARDEN TOOLS OFF RANGE,58,0.005195582321762413
400 HERITAGE STAIR N FASCIA OD,58,0.005195582321762413
400 EXTERNAL DOOR,55,0.0049268453051195295
400 NZ COLD FOOD SAVORY,54,0.004837266299571902
400 TIMBER FLOORING,48,0.004299792266286135
400 CABINETS,45,0.004031055249643252
